jour,stock_solide,stock_liquide,cout_moyen_solide,cout_moyen_liquide,date
296,4066.425857288408,4832.574142711595,165.0138761061947,234.06253211857856,2025-10-23
297,3467.979487215209,4770.020512784795,165.0138761061947,233.61640905780524,2025-10-24
298,3072.490346639008,5165.509653360996,165.0138761061947,233.34058677568004,2025-10-25
299,2530.144853492095,5707.855146507908,165.0138761061947,233.02449141371153,2025-10-26
300,2202.711655243889,6035.288344756114,165.0138761061947,232.86115615240763,2025-10-27
301,1899.7143517516038,6338.285648248399,165.0138761061947,232.72504392519545,2025-10-28
302,1389.043012313348,6848.956987686655,165.0138761061947,232.52289406441224,2025-10-29
303,875.2051745085802,6703.794825491424,165.0138761061947,232.34779365849025,2025-10-30
304,327.68836223461824,6585.311637765386,165.0138761061947,232.17156911289382,2025-10-31
305,0.0,6913.000000000005,165.0138761061947,232.0692906682865,2025-11-01
306,0.0,6179.000000000005,165.0138761061947,232.0692906682865,2025-11-02
307,0.0,6179.000000000005,165.0138761061947,232.0692906682865,2025-11-03
308,0.0,6179.000000000005,165.0138761061947,232.0692906682865,2025-11-04
309,0.0,6179.000000000005,165.0138761061947,232.0692906682865,2025-11-05
310,0.0,5523.000000000005,165.0138761061947,232.0692906682865,2025-11-06
311,0.0,4826.000000000005,165.0138761061947,232.0692906682865,2025-11-07
312,6677.190441905944,5148.809558094061,161.2214,231.70265154887213,2025-11-08
313,6397.760053728011,4720.239946271993,161.2214,231.42049227382861,2025-11-09
314,5688.573632319367,5429.426367680638,161.2214,230.74139186900535,2025-11-10
315,5060.246406252014,6057.753593747991,161.2214,230.27256561040178,2025-11-11
316,4491.24600348822,5895.753996511785,161.2214,229.9247158388251,2025-11-12
317,4022.430326687064,5676.569673312941,161.2214,229.65192873608237,2025-11-13
318,3646.2673864280673,5344.732613571938,161.2214,229.43872953195526,2025-11-14
319,3278.353035386409,5712.6469646135965,161.2214,229.23152231012466,2025-11-15
320,2868.4152803597167,5456.584719640288,161.2214,229.02997952408367,2025-11-16
321,2351.6405361372995,5973.3594638627055,161.2214,228.78700017988595,2025-11-17
322,1775.5212192136896,6549.478780786316,161.2214,228.5613193474705,2025-11-18
323,1219.7888966057062,6432.211103394299,161.2214,228.37830313658492,2025-11-19
324,798.031680145547,6144.968319854458,161.2214,228.2455786446399,2025-11-20
325,95.62803731159704,6195.3719626884085,161.2214,228.0379383321975,2025-11-21
326,0.0,6291.0000000000055,161.2214,228.01032555276507,2025-11-22
327,0.0,5602.0000000000055,161.2214,228.0103255527651,2025-11-23
328,0.0,5602.0000000000055,161.2214,228.0103255527651,2025-11-24
329,0.0,5602.0000000000055,161.2214,228.0103255527651,2025-11-25
330,0.0,5602.0000000000055,161.2214,228.0103255527651,2025-11-26
331,0.0,4938.0000000000055,161.2214,228.0103255527651,2025-11-27
332,4406.621545425802,4878.378454574204,158.772544,227.55571766627645,2025-11-28
333,4138.825342355161,5146.174657644844,158.772544,227.3588491939092,2025-11-29
334,3792.519978216714,4818.480021783292,158.772544,227.1327297139725,2025-11-30
335,3494.1925170396744,5116.807482960331,158.772544,226.93681933890542,2025-12-01
336,3200.38394583336,5410.616054166645,158.772544,226.7649921002103,2025-12-02
337,3200.38394583336,4728.616054166645,158.772544,226.7649921002103,2025-12-03
338,2628.4658709716573,4609.534129028348,158.772544,226.44211234603168,2025-12-04
339,2137.2532505516456,5100.74674944836,158.772544,226.18502730984824,2025-12-05
340,2137.2532505516456,5100.74674944836,158.772544,226.18502730984824,2025-12-06
341,1640.1044979591904,4906.895502040815,158.772544,225.9707748166204,2025-12-07
342,8149.131038280843,5397.868961719161,155.65581818181818,225.48734280566657,2025-12-08
343,7773.012307500387,5773.987692499618,155.65581818181818,225.1726163105587,2025-12-09
344,7295.591460190828,5589.408539809177,155.65581818181818,224.82766787597515,2025-12-10
345,6830.415903932863,5373.584096067141,155.65581818181818,224.5071433822507,2025-12-11
346,6290.55615362927,5913.443846370735,155.65581818181818,224.15554192714944,2025-12-12
347,5743.873945146849,6460.126054853155,155.65581818181818,223.85938103339433,2025-12-13
348,5446.134606931079,6079.865393068925,155.65581818181818,223.7182378427739,2025-12-14
349,4989.364448247739,6536.635551752265,155.65581818181818,223.50424061080113,2025-12-15
350,4445.967079222995,7080.032920777009,155.65581818181818,223.28562224121163,2025-12-16
